Source	Domain	Acceptability	Sentence	Simple	Copula	Pred/SC	Result/Depictive	Particle	VP Adjunct	NP Adjunct	Temporal	Locative	Misc	Oblique	PP Arg-VP	PPArg-NP/AP	by-Phrase	Expletive	High Arity	Drop Arg	Add Arg	Passive	Imperative	Binding:Refl	Binding:Other	Matrix Q	Emb Q	Complex QP	RC	Island	CP Subj	CP Arg VP	CP Arg NP/AP	Non-finite CP	No C-izer	Deep Embed	Neg	Modal	Aux	Psuedo-Aux	Control	Raising	VP+Extract	VP arg-NP/AP	Non-finite VP Misc	Deverbal	Rel NP	Trans NP	Compx NP	NNCompd	Rel Adj	Trans Adj	Dislocation	Info Struc	Frag/Paren	Coord	Subordinate/Cond	Ellipsis/Anaphor	S-Adjunct	Quantifier	Partitive	NPI/FCI	Comparative	Sem  Violation	Infl/Agr Violation	Extra/Mising Expr
gj04	In	1	The sailors rode the breeze clear of the rocks.	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gj04	In	1	The weights made the rope stretch over the pulley.	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gj04	In	1	The mechanical doll wriggled itself loose.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cj99	In	1	If you had eaten more, you would want less.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
cj99	In	0	As you eat the most, you want the least.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
cj99	In	0	The more you would want, the less you would eat.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
cj99	In	0	I demand that the more John eat, the more he pays.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0
cj99	In	1	Mary listens to the Grateful Dead, she gets depressed.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
cj99	In	1	The angrier Mary got, the more she looked at pictures.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
cj99	In	1	The higher the stakes, the lower his expectations are.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
cj99	In	1	The more Fred is obnoxious, the less attention you should pay to him.	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
cj99	In	1	John was lots more obnoxious than Fred.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
cj99	In	1	The more people you give beer to, the more people get sick.	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
cj99	In	0	The more does Bill smoke, the more Susan hates him.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
